"question,correct,A,B,C,D"
"What is the name of the main character?,A,Maria,Elsa,Anna,Liesl"
"Who composed The Sound of Music?,B,Hammerstein,Rodgers,Mozart,Beethoven"
"What mountain range is featured?,C,Rockies,Himalayas,Alps,Andes"
"What is Captain von Trapp's first name?,A,Georg,Friedrich,Kurt,Max"
"How many children does Captain von Trapp have?,D,5,6,8,7"
"What is Liesl's age at the beginning of the movie?,B,15,16,17,18"
"What is the name of Liesl’s boyfriend?,C,Max,Georg,Rolf,Kurt"
"What country is the story set in?,A,Austria,Germany,Switzerland,Italy"
"What is the name of the abbey where Maria lives?,D,St. Abbey,Salzburg Abbey,Nunnery Hall,Nonnberg"
"What song does Maria sing on the hills?,D,Edelweiss,Do-Re-Mi,Climb Ev'ry Mountain,The Sound of Music"
"What is the family's last name?,B,Schmidt,Von Trapp,Keller,Bauer"
"What musical festival do the von Trapps perform in?,C,Vienna Festival,Music Gala,Salzburg Festival,Austria Fest"
"What is the name of the Baroness?,A,Elsa,Maria,Anna,Greta"
"What does Captain von Trapp use to call his children?,D,Bell,Voice,Clap,Whistle"
"What does Maria make clothes out of for the children?,B,Sheets,Curtains,Blankets,Tablecloths"
"What song do Maria and the Captain sing together?,C,Do-Re-Mi,Favorite Things,Edelweiss,So Long Farewell"
"Who tries to recruit Captain von Trapp?,A,Nazis,Soldiers,Police,Guards"
"How does the family escape at the end?,B,By train,Over the mountains,By car,By boat"
"What instrument does the Captain play?,D,Piano,Violin,Drums,Guitar"
"What is the name of the youngest child?,A,Gretl,Marta,Louisa,Brigitta"
"Which nun gives Maria guidance about the children?,A,Mother Abbess,Sister Margaretta,Sister Berthe,Sister Sophia"
"What color is the dress Maria wears on her first day?,C,Blue,Red,Green,Yellow"
"Which song is used for the children’s music lesson?,B,Climb Ev'ry Mountain,Do-Re-Mi,The Sound of Music,So Long Farewell"
"What does Maria give to the children as gifts?,D,Playthings,Books,Candies,Toys"
"Who plays the Mother Abbess?,D,Julie Andrews,Charmian Carr,Eleanor Parker,Peggy Wood"
"What is the Captain’s profession?,B,Naval Officer,Retired Naval Captain,Teacher,Doctor"
"What is the name of the oldest child?,A,Liesl,Frederica,Brigitta,Leisl"
"Which country do the von Trapps flee to?,A,Switzerland,Germany,France,Italy"
"What is the profession of Rolf?,A,Messenger,Postman,Soldier,Teacher"
"Which song does the Captain perform at the festival?,A,Edelweiss,Do-Re-Mi,The Sound of Music,Climb Ev'ry Mountain"
"What is Maria's favorite hobby?,A,Singing,Dancing,Painting,Gardening"
"Which child is known for being mischievous?,A,Kurt,Liesl,Gretl,Max"
"Who teaches the children music?,A,Maria,Baroness,Mother Abbess,Max"
"What does the Captain insist on before letting Maria stay?,D,Proper manners,House rules,Quiet hours,Discipline"
"Which song opens the movie?,A,The Sound of Music,Edelweiss,Do-Re-Mi,Climb Ev'ry Mountain"
"What animal is prominently featured in Do-Re-Mi scene?,D,Horses,Cows,Sheep,Goats"
"What city do the von Trapps leave for the festival?,A,Salzburg,Vienna,Graz,Linz"
"Which musical instrument is played in the Do-Re-Mi scene?,D,Piano,Violin,Guitar,Recorder"
"What is the name of Maria's friend at the abbey?,A,Sister Margaretta,Sister Sophia,Sister Berthe,Sister Agatha"
"Who is the music teacher before Maria?,A,Max,Baroness,Leisl,Friedrich"
"Which child sings the solo Do-Re-Mi?,B,Liesl,Gretl,Frederica,Kurt"
"What does Maria sew for the children?,A,Clothes,Dolls,Toys,Books"
"Which song does the family sing in the boat scene?,B,Edelweiss,So Long Farewell,Do-Re-Mi,Favorite Things"
"What does the Captain use to stop the children from quarreling?,C,Whistle,Hand clap,Bell,Voice"
"Who is the youngest child?,A,Gretl,Louisa,Max,Marta"
"Which child falls in love during the story?,A,Liesl,Gretl,Louisa,Friedrich"
"What is the final song of the movie?,A,Climb Ev'ry Mountain,Edelweiss,Do-Re-Mi,Favorite Things"
"Who is the main antagonist?,A,Nazis,Baroness,Max,Captain von Trapp"
"Which child plays a major role in the So Long Farewell scene?,C,Louisa,Liesl,Gretl,Brigitta"
"What is the Baroness's attitude toward Maria?,A,Jealous,Supportive,Indifferent,Kind"
"What type of music does the von Trapps primarily perform?,A,Classical,Rock,Folk,Popular"
"Which character encourages Maria to stay?,A,Mother Abbess,Baroness,Captain,Max"
"What does Maria use to teach the children to sing?,C,Lyrics,Books,Piano,Whistle"
"Which child is oldest?,A,Liesl,Leisl,Kurt,Gretl"
